,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
216,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
217,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
218,SONY,"3,53,990","₹2,90,987",Mirrorless Camera,61,Yes,17,
219,Wintwilla,"8,999","₹4,999",,,No,44,3.4
220,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
221,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
222,RHONNIUM,"2,999","₹1,367",,12,No,54,3.4
223,GoPro,"44,99","₹42,490",,27,No,05,
224,SONY,"5,59,990","₹4,99,988",Mirrorless Camera,50,Yes,10,
225,Swa,"12,499","₹3,149",,,No,74,
226,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
227,Elevea,"5,000","₹1,619",Action CameraWaterproof Camera,16,No,67,
228,Vajrakaye,"19,999","₹3,499",Drone Camera,,No,82,2.5
229,Drone,"9,999","₹2,999",Dual Camera,,No,70,
230,SJCAM,"4,400","₹2,549",,5,No,42,4.3
231,WINDCOMM,"3,999","₹1,619",Sports CameraAction Camera,12,No,59,
232,TOTAL,"4,999",₹999,,12,Yes,80,1.3
233,TOTAL,"15,999","₹6,999",,56,No,56,
234,DRONE,"9,999","₹4,999",Dual Camera,,No,50,3.1
235,Bzrqx,"2,999","₹1,172",CCTV CameraSmart Camera,12,Yes,60,4.2
236,Insta360,"54,990","₹40,990",,9,No,25,
237,DRONE,"9,999","₹2,299",Cual Camera,,No,77,2.8
238,Clipface,"4,000","₹1,349",Action CameraDashboard CameraDashboard Camera,720,No,66,4.7
239,FUJIFILM,,,,,No,,4.2
240,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
241,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
242,FELCRONIXS,"2,000",₹806,Spy Camera,12,No,59,2
243,Swa,"8,999","₹2,799",Mi Camera4K Camera,,No,68,
244,GoPro,"23,99","₹21,990",,12,No,08,3.3
245,SJCAM,"19,800","₹9,999",,16,No,49,
246,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
247,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
248,Clubics,"11,999","₹5,199",3 Camera,,No,56,
249,Swa,"8,999","₹2,699",Dual Camera,,No,70,
250,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
251,Swa,"8,999","₹2,799",Good Camera,,No,68,
252,Swa,"9,999","₹3,359",,,No,66,3.5
253,Qaz,"3,999","₹1,187",,12,No,70,2.4
254,Pelupa,"3,999","₹1,299",Neck Camera,2,Yes,67,3.6
255,SIOVS,"2,899",₹683,Hidden Camera,12,Yes,76,3.5
256,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
257,BURRAQUE,"4,999","₹2,999",Drone Camera,,No,40,
258,SIOVS,"2,999",₹679,CCTV Camera,12,Yes,77,3
259,Rivalwilla,"9,999","₹2,625",WiFi Camera,,Yes,73,2.6
260,GoPro,"64,99","₹62,490",,27,No,03,
